,overall_severity,X
245,5.0,"['ur', 'friendless', 'q', 'say', 'friend', 'call', 'bitch', 'ur', 'friendless']"
246,5.0,"['fagg', 'fagg', 'hahahahaha', 'fagg', 'buddy', 'lol', 'fagg']"
247,5.0,"['best', 'think', 'twice', 'try', 'steal', 'stuff', 'bitch', 'bitch', 'fuck', 'said', 'stealiing', 'stuff', 'dumb', 'fuck', 'best', 'think', 'twice', 'try', 'steal', 'stuff', 'bitch', 'dumb', 'fuck', 'bitch', 'dumb', 'fuck']"
248,5.0,"['go', 'away', 'u', 'mad', 'corny', 'wat', 'fuck', 'pussy', 'go', 'away', 'u', 'mad', 'corny', 'wat', 'fuck', 'pussy', 'fuck', 'pussy']"
249,5.0,"['fucking', 'as', 'fucking', 'as', 'faggot']"
250,5.0,"['hehe', 'coming', 'pussy', 'doesnt', 'even', 'put', 'name', 'pathetic', 'much', 'pussy', 'doesnt', 'even', 'put', 'name', 'pathetic', 'much', 'im', 'sorry', 'ever', 'said', 'anything', 'young', 'makeup', 'especially', 'amount']"
251,5.0,"['respond', 'going', 'burn', 'house', 'mean', 'texting', 'right', 'respond', 'going', 'burn', 'house', 'mean']"
252,5.0,"['want', 'another', 'as', 'beating', 'remember', 'gurl', 'u', 'fight', 'last', 'year', 'want', 'another', 'as', 'beating', 'want', 'another', 'as', 'beating']"
253,5.0,"['bitch', 'fucking', 'stupid', 'go', 'fuck', 'bitch', 'dumb', 'go', 'fuck']"
254,5.0,"['ok', 'bitch', 'wan', 'na', 'get', 'started', 'ok', 'one', 'faggot', 'used', 'term', 'people', 'try', 'use', 'get', 'feel', 'bad', 'two', 'nothing', 'alowlife', 'bitch', 'get', 'kick', 'starting', 'shit', 'people', 'comestarting', 'shit', 'formspring', 'bitch', 'wan', 'na', 'get', 'started', 'faggot', 'nothing', 'alowlife', 'bitch']"
255,5.0,"['fuck', 'fuck']"
256,5.0,"['stroke', 'pussy', 'stroke', 'pussyr', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'r', 'cat', 'whole', 'stroke', 'pussyrrrrrrrrrrrrrrr', 'cat', 'make', 'anyone', 'want', 'chat', 'like', 'uncomfortable']"
257,5.0,"['douche', 'many', 'time', 'douche', 'sex', 'many', 'time', 'douche', 'sex']"
258,5.0,"['go', '2', 'hell', 'person', 'telling', 'person', 'go', 'hell', 'go', '2', 'hell']"
259,5.0,"['nooooo', 'fuck', 'fuck', 'lakers', 'fuck', 'celetics', 'fuck', 'lakers', 'fuck', 'celetics']"
260,5.0,"['big', 'small', 'dick', 'na', 'austin', 'big', 'small', 'dick']"
261,5.0,"['3', 'fuck', 'bulshiit', 'dirtyy', 'slutts', 'fuck', 'bulshiit', 'dirtyy', 'slutts', 'came', 'outt']"
262,5.0,"['u', 'tht', 'ur', 'ugli', 'u', 'tht', 'ur', 'ugli', 'know', 'uglier', 'dog', 'shit', 'nahh', 'juss', 'kiddin', 'bitchh', 'like', 'youu', 'unow', 'tht', 'ur', 'ugli', 'know', 'uglier', 'dog', 'shit', 'bitchh', 'like', 'youu']"
263,5.0,"['stop', 'calling', 'tabi', 'fake', 'obviously', 'fake', 'bitch', 'life', 'fake', 'bitch', 'life', 'fake', 'bitch']"
264,5.0,"['bryan', 'ugly', 'dum', 'hoe', 'ugly', 'couple', 'bryan', 'uglyyy', 'dum', 'hoe', '5', '19', '10', 'aha', 'yu', 'guy', 'make', 'ugly', 'couple', 'bryan', 'ugly', 'dum', 'hoe']"
265,5.0,"['whyy', 'dose', 'rubinathy15', 'ask', 'stoopid', 'question', 'erase', 'dum', 'betch', 'call', 'rubinathy15', 'dum', 'bitch', 'say', 'ask', 'stoopid', 'question', 'whyy', 'dose', 'rubinathy15', 'ask', 'stoopid', 'question', 'erase', 'dum', 'betch']"
266,5.0,"['bitch', 'stupid', 'skank', 'get', 'shit', 'ha', 'ha', 'bitch', 'smd', 'stupid', 'skank', 'learn', 'spell', 'proper', 'grammer']"
267,5.0,"['bulmic', 'want', 'talk', 'shit', 'please', 'shit', 'talk', 'shit']"
268,4.0,"['creeeepppyyyy', 'n', 'would', 'say', 'love', 'creepy', 'go', 'back', 'girlfriend']"
269,4.0,"['ur', 'soft', 'bitch', 'anyone', 'woop', 'ur', 'as', 'soft', 'bitch', 'ur', 'soft', 'bitch', 'anyone', 'woop', 'ur', 'as', 'stfu', 'imaturee']"
270,4.0,"['gay', 'gay']"
271,4.0,"['jizz', 'pic', 'alllll', 'time', 'jizz', 'creepy']"
272,4.0,"['r', 'u', 'lesbian', 'lesbian', 'lol', 'r', 'u', 'lesbian', 'honest', 'everyone', 'say', 'ok', 'u', 'r', 'thats', 'hot']"
273,4.0,"['better', 'suck', 'shut', 'anthony', 'suck', 'shut', 'suck']"
274,4.0,"['learn', 'proper', 'fake', 'learn', 'keep', 'damn', 'mouth', 'shut', 'fake', 'damn', 'mouth', 'shut', 'keep', 'damn', 'mouth', 'shut']"
275,4.0,"['girl', 'fake', 'ohh', 'look', 'girl', 'fake', 'think', 'referring', 'fake', 'suicide', 'threat', 'maybe']"
276,4.0,"['fuckin', 'dumb', 'hell', 'im', 'pretty', 'sure', 'austin', 'would', 'fuck', 'anything', 'move', 'apos', 'feel', 'special', 'dearr', 'fuckin', 'dumb', 'hell', 'seriously', 'think', 'people', 'jealous', 'fuckin', 'dumb', 'hell']"
277,4.0,"['stupid', 'bitch', 'amber', 'went', 'school', 'try', 'act', 'like', 'ran', 'fucking', 'school', 'put', 'bitchx', 'back', 'fucking', 'place', 'ran', 'fucking', 'school', 'stupid', 'bitch', 'amber', 'went', 'school', 'try', 'act', 'like', 'ran', 'fucking', 'school', 'put', 'bitchx', 'back', 'fucking', 'place']"
278,4.0,"['dumbass', 'lst', '2', 'aintchur', 'girl', 'dont', 'evn', 'lik', 'u', 'brittany', 'mayodan', 'abbie', 'aint', 'ellisboro', 'either', 'dumbass', 'lst', '2', 'aintchur', 'girl', 'dont', 'evn', 'lik', 'u', 'dumbass', 'dont', 'like', 'u']"
279,4.0,"['lying', 'think', 'changing', 'ur', 'appearance', 'getting', 'tattoo', 'make', 'people', 'recognize', 'ugly', 'inside', 'ugly', 'inside', 'na']"
280,4.0,"['dont', 'listen', 'pathetic', 'little', 'bitch', 'shit', 'talker', 'little', 'pussy', 'pathetic', 'little', 'bitch', 'shit', 'talker', 'little', 'pussy']"
281,4.0,"['fake', 'person', '1', 'would', 'watch', 'rachel', 'sayinnnnn', 'fake', 'person', 'fake', 'person']"
282,4.0,"['stop', 'fucking', 'lying', 'use', 'profanity', 'like', 'word', 'fucking', 'typing', 'cap', 'indicates', 'anger', 'frustration', 'stop', 'fucking', 'lying']"
283,4.0,"['lmao', 'roney', 'get', '1', 'lmao', 'roney', 'get']"
284,4.0,"['bitch', 'bitch', 'bitch', 'r', 'nahttt']"
285,4.0,"['bitch', 'whore', 'cunt', 'r', 'hate', 'ur', 'gut', 'bitch', 'whore', 'cunt', 'r', 'hate', 'ur', 'gut', 'bitch', 'whore', 'cunt', 'r', 'hate', 'ur', 'gut']"
286,4.0,"['bitch', 'bitch']"
287,4.0,"['stop', 'annoying', 'betty', 'btw', 'really', 'sad', 'little', 'girl', 'boy', 'think', 'ur', 'grown', 'using', 'big', 'word', 'stupid', 'child', 'living', 'fake', 'life', 'behind', 'damn', 'keyboard', 'screen', 'pathetic', 'really', 'sad', 'little', 'girl', 'boy', 'pathetic', 'really', 'sad', 'little', 'girl', 'boy', 'stupid', 'child', 'living', 'fake', 'life', 'pathetic']"
288,4.0,"['bitch', 'maybe', 'friend', 'bitch', 'bitch', 'bitch']"
289,4.0,"['r', 'u', 'horny', 'r', 'u', 'horny']"
290,4.0,"['seem', 'like', 'bitch', 'seem', 'like', 'bitch', 'dont', 'know', 'seem', 'like', 'bitch']"
291,4.0,"['stolen', 'anything', 'go', 'handing', 'authority']"
292,4.0,"['rosie', 'twat', 'rosie', 'twat']"
293,4.0,"['girl', 'bullied', 'school', 'bullied']"
294,4.0,"['pussy', 'hairy', 'pussy', 'hairy']"
295,4.0,"['ajula', 'dont', 'fukin', 'talk', 'tu', 'herrr', 'vvv', 'dont', 'fukin', 'talk', 'lame', 'as', 'despreate', 'dont', 'fukin', 'talk', 'tu', 'herrr', 'lame', 'as', 'despreate']"
296,4.0,"['fake', 'stuuupid', 'fuck', 'may', 'bitch', 'aint', 'fake', 'fake', 'though', 'make', 'sense', 'lolol', 'would', 'keep', 'faking', 'formsprings', 'stuuupid', 'p', 'know', 'real', 'ashlee', 'girl', 'formspring', 'already', 'soo', 'fuck', 'may', 'bitch', 'aint', 'fake', 'fake', 'though', 'make', 'sense', 'lolol', 'would', 'keep', 'faking', 'formsprings', 'stuuupid', 'p', 'know', 'real', 'ashlee', 'girl', 'formspring', 'already', 'soo', 'fuck', 'may']"
297,4.0,"['cj', 'gay', 'wtf', 'yur', 'gay', 'gay']"
298,4.0,"['u', 'ever', 'sucked', 'dick', 'ever', 'sucked', 'dick', 'none', 'business']"
299,4.0,"['feel', 'hoe', 'sister', 'hows', 'feel', 'haterr', 'huh', 'explain', 'tht', 'dum', 'bitch', 'feel', 'hoe', 'sister', 'feel', 'hoe', 'sister', 'hows', 'feel', 'haterr', 'huh', 'explain', 'tht', 'dum', 'bitch']"
300,4.0,"['user', 'saying', 'untrue', 'personal', 'thing', 'user', 'fuk']"
301,4.0,"['want', 'yu', '2', 'deep', 'throat', 'dik', 'wile', 'eat', 'ur', 'pussy', 'want', '69', 'u', 'ur', 'trick', 'wan', 'na', 'finger', 'tht', 'pussy', 'u', '2', 'deep', 'throat', 'dik', 'wile', 'eat', 'ur', 'pussy', 'finger', 'tht', 'pussy', 'leave', 'u']"
302,4.0,"['peyton', 'wan', 'na', 'cassie', 'lmfao', 'thats', 'mean', 'ahaa', 'mean', 'buh', 'truee', 'lmfao', 'lmfao', 'lmfao', 'lmfao', 'rofl', '3', 'peyton', 'wan', 'na', 'cassie', 'lmfao', 'thats', 'mean', 'ahaa', 'mean', 'buh', 'truee']"
303,4.0,"['fake', 'everyone', 'know', 'fake', 'everyone', 'know', 'fake']"
304,4.0,"['dum', 'trikk', 'step', 'tew', 'amber', 'fought', 'ha', 'alreadii', 'dum', 'trikk']"
305,4.0,"['fagot', 'whyy', 'aree', 'youu', 'suchh', 'aa', 'faggottt', 'faggottt']"
306,4.0,"['suk', 'dikk', 'kume', 'suk', 'dikk']"
307,4.0,"['wait', 'dnt', 'fuk', 'wit', 'lala', 'shell', 'beat', 'shoe', 'as', 'hoe', 'ima', 'kume', 'uvvvvvvv', 'as', 'hoe', 'mean', 'hoe']"
308,4.0,"['fucked', 'fuk', 'fuked', 'puttin', 'blastt', 'sendin', 'pic', 'florine', 'around']"
309,4.0,"['bitch', 'hoe', 'yous', 'bitch', 'nd', 'hoe', 'yous', 'bitch', 'nd', 'hoe']"
310,4.0,"['boy', 'gay', 'areee', 'boy', 'gay', 'bieleber']"
311,4.0,"['whip', 'as', 'gahaha', 'xd', 'whip', 'as', 'lmfaoo', 'whip', 'as']"
312,4.0,"['hell', 'yuh', 'tha', 'fuck', 'michael', 'hell', 'yuh', 'tha', 'fuck', 'michael']"
313,4.0,"['rude', 'delete', 'formspring', 'immediately', 'clitface']"
314,4.0,"['ever', 'hooked', 'sex', 'anal', 'sex', 'ever', 'hooked', 'sex']"
315,4.0,"['people', 'want', 'sexual', 'spam', 'dont', 'mass', 'spam', 'want', 'sexual', 'spam', 'ask', 'spam', 'individually', 'thank', 'sexual', 'spam', 'sexual', 'spam']"
316,4.0,"['slut', 'slut']"
317,4.0,"['get', 'rid', 'killing', 'sperm', 'caught', 'early', 'embryo', 'much', 'different', 'guy', 'blowing', 'load', 'killing', 'sperm', 'could', 'innocent', 'baby', 'life', 'embryo', 'human', 'although', 'many', 'innocent', 'life', 'taken', 'war', 'sickenin']"
318,4.0,"['vibrating', 'toy', 'big', 'pink', 'fluffy']"
319,4.0,"['suck', 'fucker', 'suck', 'fucker']"
320,4.0,"['probably', 'ugly', 'real', 'life', 'q', 'call', 'fake', 'ugly', 'lmfao']"
321,4.0,"['soo', 'ugly', 'soo', 'fat', 'fat', 'ugly']"
322,4.0,"['bitch', 'dumbass', 'dumbass']"
323,4.0,"['u', 'b', 'kinda', 'stuck', 'u', 'b', 'sometimes', 'kinda', 'stuck', 'person', 'clearly', 'bullying', 'person', 'defend', 'b']"
324,4.0,"['porch', 'monkey', 'niglett', 'porch', 'monkey', 'niglett']"
325,4.0,"['stfu', 'stop', 'trying', 'grow', 'know', 'stfu', 'shut', 'fuck']"
326,4.0,"['going', 'poke', 'eyeball', 'poke', 'eyeball']"
327,4.0,"['gay', 'gay']"
328,4.0,"['smell', 'like', 'old', 'man', 'smell', 'smell', 'like', 'old', 'man']"
329,4.0,"['umm', 'okayy', 'thennn', 'harry', 'beaver', 'name', 'harry', 'beaver']"
330,4.0,"['gay', 'think', 'gay', 'sorry', 'think', 'gay', 'sorry']"
331,4.0,"['gay', 'hey', 'stop', 'bullying']"
332,4.0,"['gay', 'gay', 'gay']"
333,4.0,"['soo', 'dumb', 'soo', 'dumb', 'dumb']"
334,4.0,"['youz', 'hoe', 'hoe', 'baybay', 'hoe', 'baybay', 'weenie']"
335,4.0,"['hurt', 'mean', 'hurt']"
336,4.0,"['fuck', 'yo', 'shit', 'fuck', 'yo', 'shit', 'homie', 'fuck', 'yo', 'shit', 'homie']"
337,4.0,"['would', 'even', 'start', 'shit', 'get', 'life']"
338,4.0,"['fugly', 'better', 'looking', 'fugly', 'u', 'know', 'u', 'care', 'betty', 'way', 'better', 'looking', 'u', 'fugly']"
339,4.0,"['see', 'nothing', 'foolish', 'child', 'see', 'nothing', 'foolish', 'child', 'foolish', 'child']"
340,4.0,"['michaela', 'isnt', 'shit', 'isnt', 'shit', 'michaela', 'isnt', 'shit']"
341,4.0,"['nude', 'gtfo', 'gtfo']"
342,4.0,"['retarded', 'retarded', 'retarded']"
343,4.0,"['like', 'pussy', 'like', 'pussy', 'pussy']"
344,4.0,"['much', 'beef', 'hop', 'dick', 'wan', 'na', 'fucking', 'get', 'anything', 'much', 'beef', 'seriously', 'even', 'like', 'beef', 'preferably', 'chicken', 'hey', 'kinda', 'pissin', 'dude', 'hop', 'dick']"
345,4.0,"['ugly', 'cody', 'kid', 'ugly', 'cody', 'kid', 'ugly', 'cody', 'kid']"
346,4.0,"['likee', 'dick', 'likee', 'dick']"
347,4.0,"['chick', 'fucking', 'lesbain', 'fucking', 'lesbain']"
348,4.0,"['hat', 'mutha', 'fucka', 'one', 'hawt', 'piece', 'as', 'mutha', 'fucka', 'one', 'hawt', 'piece', 'as']"
349,4.0,"['ur', 'fuckin', 'idiot', 'ur', 'fuckin', 'idiot', 'ur', 'fuckin', 'idiot']"
350,4.0,"['ugly', 'piece', 'shit', 'ugly', 'piece', 'shit', 'ugly', 'piece', 'shit']"
351,4.0,"['u', 'wnt', '2', 'suk', 'dick', 'u', 'wnt', '2', 'suk', 'dick']"
352,4.0,"['pussy', 'gurl', 'rite', 'nd', 'got', 'pussy']"
353,4.0,"['cum', 'sex', 'lying', 'saying', 'sex', 'insulting', 'smell', 'taste']"
354,4.0,"['damn', 'go', 'jack', 'watching', 'monkey', 'damn', 'damn', 'go', 'jack', 'watching', 'monkey', 'damn']"
355,4.0,"['hey', 'idiot', 'leave', 'alone', 'already', 'leave', 'alone', 'already']"
356,4.0,['gay']
357,4.0,"['fag', 'bitch', 'fagggggg', 'bitchhhhh', 'fag', 'bitch']"
358,4.0,"['beat', 'as', 'beat', 'as', 'beat', 'as']"
359,4.0,"['h0l3', 'fu', 'k', 'm3', 'n', 'dh', 'h0l3']"
360,4.0,"['idk', 'call', 'america', 'call', 'whore', 'whore']"
361,4.0,"['pussssssyss', 'beat', 'as', 'tell', 'beat', 'as', 'fuckin', 'girl']"
362,4.0,"['could', 'punch', 'one', 'celebrity', 'without', 'repercussion', 'would', 'taylor', 'swift', 'punch', 'one', 'celebrity']"
363,4.0,"['poop', 'mouth', 'please', 'poop', 'mouth']"
364,4.0,"['stop', 'harasssing', 'stop', 'harassing', 'stop', 'harassing', 'stop', 'harassing', 'keep', 'negative', 'thought', 'f']"
365,4.0,"['lmfao', 'shxt', 'dhatss', 'whyy', 'dheyy', 'anonymouss', 'ckuss', 'dhem', 'hoe', 'nastyy', 'n', 'saiid', 'dnt', 'get', 'hurt', 'ckuss', 'yew', 'bee', 'gettinqq', 'slickk', 'n', 'dnt', 'bee', 'fuckinqq', 'wit', 'mhe', 'lmfao', 'shxt', 'dhatss', 'whyy', 'dheyy', 'anonymouss', 'ckuss', 'dhem', 'hoe', 'nastyy', 'n', 'saiid', 'dnt', 'get', 'hurt', 'ckuss', 'yew', 'bee', 'gettinqq', 'slickk', 'n', 'dnt', 'bee', 'fuckinqq', 'wit', 'mhe']"
366,4.0,"['skin', 'nigger', 'hut', 'nigga', 'nico', 'bunge', 'nigger', 'nigga', 'motha', 'fucka']"
367,4.0,"['hate', 'group', 'shutup', 'fake', 'shutup']"
368,4.0,"['calling', 'nigger', 'saying', 'look', 'gay', 'nigga', 'bxtch', 'suk', 'get', 'lost']"
369,4.0,"['ya', 'teeth', 'fcked', 'uhmm', 'bestie', 'dnt', 'u', 'evr', 'get', 'da', 'brace', 'ya', 'teeth', 'fcked', 'dnt', 'u', 'evr', 'get', 'da', 'brace', 'ya', 'teeth', 'fcked']"
370,4.0,"['fake', 'nothing', 'good', 'life', 'nothing', 'good', 'life', 'fake', 'nothing', 'good', 'life']"
371,4.0,"['terribly', 'rude', 'everyone', 'terribly', 'rude', 'everyone']"
372,4.0,"['said', 'iam', 'ugly', 'fuck', 'hater', 'said', 'im', 'ugly', 'fuck', 'gon', 'na', 'talk', 'shit']"
